Chromosome	TPM	Gene	Species	Sex	Tissue	Stage	Sample	log2_TPM	Z_score	p_value	p_adj	Expression_Status_BH	Expression_Status	Type
SUPER_GRC2	1.184688	g9343	B_coprophila	female	germ_ovaries	adult	B10	0.244508378072736	3.54780549858447	0.00019422748365993	0.00022987845493674	Active	Expressed	Gene
SUPER_GRC2	1.545126	g13059	B_coprophila	female	germ_ovaries	adult	B10	0.627725423721955	4.19306294021173	1.37606521846134e-05	1.68618484091823e-05	Active	Expressed	Gene
SUPER_GRC2	9.215041	g13065	B_coprophila	female	germ_ovaries	adult	B10	3.20399074133658	8.5309554913659	0	0	Active	Expressed	Gene
SUPER_GRC2	8.808496	g14637	B_coprophila	female	germ_ovaries	adult	B10	3.13889587208198	8.42134933142298	0	0	Active	Expressed	Gene
SUPER_GRC2	1.063183	g17249	B_coprophila	female	germ_ovaries	adult	B10	0.0883912985770411	3.28493695332169	0.00051002597059102	0.00059580656404734	Active	Expressed	Gene
SUPER_GRC2	2.878515	g18509	B_coprophila	female	germ_ovaries	adult	B10	1.52532523138125	5.70443348614908	5.83653314567556e-09	7.89993594572122e-09	Active	Expressed	Gene
SUPER_GRC2	3.146637	g19121	B_coprophila	female	germ_ovaries	adult	B10	1.65381121560974	5.92077703978142	1.60212010325012e-09	2.20494413644375e-09	Active	Expressed	Gene
SUPER_GRC1	29.170891	g6396	B_coprophila	female	germ_ovaries	adult	B10	4.86645759714336	11.3302023472845	0	0	Active	Expressed	Gene
SUPER_GRC1	0.739276	g7428	B_coprophila	female	germ_ovaries	adult	B10	-0.435813065226544	2.40228632355987	0.00814647504506338	0.00914513544907234	Active	Expressed	Gene
SUPER_GRC2	0.808978	g9343	B_coprophila	female	germ_ovaries	adult	B11	-0.305825842156812	2.62115764975599	0.00438158639536024	0.00496506725192838	Active	Expressed	Gene
SUPER_GRC2	1.310693	g13059	B_coprophila	female	germ_ovaries	adult	B11	0.390330907366242	3.79334017208559	7.43171571684353e-05	8.91015703776848e-05	Active	Expressed	Gene
SUPER_GRC2	9.373866	g13065	B_coprophila	female	germ_ovaries	adult	B11	3.2286443254547	8.57246697629489	0	0	Active	Expressed	Gene
SUPER_GRC2	9.837774	g14637	B_coprophila	female	germ_ovaries	adult	B11	3.29833205952391	8.68980656102585	0	0	Active	Expressed	Gene
SUPER_GRC2	8.178294	g17249	B_coprophila	female	germ_ovaries	adult	B11	3.03180010338288	8.2410224318123	1.11022302462516e-16	1.89095172217703e-16	Active	Expressed	Gene
SUPER_GRC2	3.441817	g18509	B_coprophila	female	germ_ovaries	adult	B11	1.78317081107958	6.13859157222581	4.16281564774579e-10	5.82820747961787e-10	Active	Expressed	Gene
SUPER_GRC2	1.842469	g19121	B_coprophila	female	germ_ovaries	adult	B11	0.881641128843501	4.62060393854635	1.91312297814772e-06	2.40419203315372e-06	Active	Expressed	Gene
SUPER_GRC1	28.727264	g6396	B_coprophila	female	germ_ovaries	adult	B11	4.84434874147305	11.2929756534067	0	0	Active	Expressed	Gene
