qseqid,best_evalue_cecidomyiid,best_bitscore_cecidomyiid,best_hit_cecidomyiid,best_pident_cecidomyiid,best_evalue_sciarid,best_bitscore_sciarid,best_hit_sciarid,best_pident_sciarid,best_evalue_outgroup,best_bitscore_outgroup,best_hit_outgroup,best_pident_outgroup,alien_index,bitscore_diff_cec_minus_sci,outgroup_flag,interpretation
g6318.t1,0.0,1079.0,g11187.t2,55.066,9.3,30.0,s12492.t1,26.471,3.04e-31,134.0,ref|XP_061507421.1|,28.295,462.7470329989684,1049.0,ok,cecidomyiid-like
g16839.t1,0.0,674.0,g4228.t2,56.325,7.3,29.6,s2860.t1,29.545,1.8,32.7,ref|XP_061511337.1|,28.571,462.5048929469635,644.4,ok,cecidomyiid-like
g14971.t1,0.0,1560.0,g146.t2,87.983,7.1,30.0,s16107.t1,32.5,4.64e-131,434.0,ref|XP_061498433.1|,46.953,462.47711338285643,1530.0,ok,cecidomyiid-like
g14971.t2,0.0,1540.0,g146.t2,87.852,7.0,30.0,s16107.t1,32.5,5.01e-127,422.0,ref|XP_061498433.1|,47.08,462.46292874786445,1510.0,ok,cecidomyiid-like
g5844.t1,0.0,687.0,g9247.t3,85.823,5.0,29.3,s15955.t1,34.615,8.09e-96,308.0,ref|XP_061512987.1|,42.037,462.12645651124325,657.7,ok,cecidomyiid-like
g1066.t1,0.0,604.0,g4640.t4,62.591,4.9,29.6,s13509.t1,35.135,0.52,33.9,ref|XP_314836.4|,25.439,462.10625380392577,574.4,ok,cecidomyiid-like
g13966.t1,0.0,701.0,g4884.t3,59.406,4.8,30.0,s2670.t1,26.596,1.23e-15,82.0,ref|XP_061518280.1|,33.929,462.085634516723,671.0,ok,cecidomyiid-like
g5576.t1,0.0,2511.0,g9050.t2,95.991,4.4,31.2,s4962.t1,27.381,4.06e-155,508.0,ref|XP_061504977.1|,72.886,461.99862313973335,2479.8,ok,cecidomyiid-like
g5576.t2,0.0,2481.0,g9050.t2,95.126,4.3,31.2,s4962.t1,27.381,0.0,588.0,ref|XP_061504975.1|,59.415,461.9756336215087,2449.8,ok,cecidomyiid-like
g13478.t1,0.0,1532.0,g5916.t1,79.317,4.2,31.6,s11600.t1,27.559,0.0,613.0,ref|XP_061517256.1|,31.748,461.95210312409847,1500.4,ok,cecidomyiid-like
g17517.t1,0.0,619.0,g7127.t2,77.324,3.9,29.6,s15400.t1,40.909,9.49e-25,107.0,ref|XP_566191.5|,61.957,461.8779951519448,589.4,ok,cecidomyiid-like
g876.t1,0.0,1181.0,g5306.t1,92.496,3.6,30.4,s3823.t2,25.641,0.0,721.0,ref|XP_061515021.1|,56.167,461.79795244427123,1150.6,ok,cecidomyiid-like
g873.t3,0.0,1012.0,g5306.t1,77.76,3.3,30.4,s14364.t1,30.0,8.68e-151,484.0,ref|XP_061514997.1|,45.89,461.71094106728157,981.6,ok,cecidomyiid-like
g2843.t1,0.0,1778.0,g13398.t2,92.365,2.9,31.6,s2411.t4,35.484,0.0,580.0,ref|XP_061497852.1|,51.706,461.5817293358016,1746.4,ok,cecidomyiid-like
g2538.t1,0.0,737.0,g12528.t2,85.817,2.9,30.0,s16993.t1,29.231,7.97e-45,162.0,ref|XP_061508082.1|,40.226,461.5817293358016,707.0,ok,cecidomyiid-like
g2063.t1,0.0,877.0,g13634.t3,74.326,2.9,30.8,s4087.t1,26.761,1.01e-57,207.0,ref|XP_061504488.1|,49.813,461.5817293358016,846.2,ok,cecidomyiid-like
g5721.t1,0.0,551.0,g8744.t1,71.767,2.9,30.8,s11861.t1,32.0,0.86,33.5,ref|XP_061512572.1|,59.259,461.5817293358016,520.2,ok,cecidomyiid-like
g10346.t1,0.0,706.0,g7894.t1,79.125,2.6,30.4,s3475.t1,35.556,1.7500000000000001e-29,123.0,ref|XP_061516678.1|,72.727,461.47253004383657,675.6,ok,cecidomyiid-like
g2872.t1,0.0,1345.0,g13665.t2,84.921,2.5,30.8,s5460.t1,27.941,0.0,667.0,ref|XP_315881.4|,45.059,461.4333093306833,1314.2,ok,cecidomyiid-like
g6813.t1,0.0,619.0,g5306.t1,35.708,2.4,32.3,s2785.t1,27.692,3.31e-148,511.0,ref|XP_061515019.1|,42.973,461.3924873361631,586.7,check_conservation,cecidomyiid-like
g16343.t1,0.0,544.0,g4882.t2,81.09,2.4,29.6,s12780.t1,21.488,1.2800000000000001e-73,229.0,ref|XP_312668.4|,38.889,461.3924873361631,514.4,ok,cecidomyiid-like
g873.t1,0.0,1015.0,g5306.t1,82.45,2.3,30.8,s14364.t1,30.0,1.44e-144,464.0,ref|XP_061515001.1|,45.878,461.3499277217443,984.2,ok,cecidomyiid-like
g2063.t2,0.0,811.0,g13634.t3,73.199,2.2,30.8,s4087.t1,26.761,5.0200000000000004e-58,207.0,ref|XP_061504488.1|,49.064,461.3054759591734,780.2,ok,cecidomyiid-like
g2527.t1,0.0,524.0,g12526.t2,69.553,2.1,30.0,s15040.t1,40.476,4.64e-12,66.2,ref|XP_061497203.1|,24.194,461.2589559435385,494.0,ok,cecidomyiid-like
g1542.t1,0.0,533.0,g12478.t2,78.297,2.0,30.0,s11469.t1,20.896,1.37e-92,281.0,ref|XP_313261.5|,43.194,461.2101657793691,503.0,ok,cecidomyiid-like
g12080.t1,0.0,708.0,g2259.t2,72.082,1.9,30.8,s9529.t1,30.667,0.0,674.0,ref|XP_061502179.1|,67.586,461.15887248498154,677.2,check_conservation,cecidomyiid-like
g5696.t1,0.0,821.0,g8961.t2,94.533,1.9,31.2,s16305.t1,48.276,10.0,0.0,,,461.15887248498154,789.8,ok,cecidomyiid-like
g7794.t4,0.0,634.0,g7421.t2,75.688,1.6,30.0,s3607.t1,25.455,2.6700000000000002e-27,115.0,ref|XP_061508800.1|,33.443,460.9870222280549,604.0,ok,cecidomyiid-like
g7783.t4,0.0,634.0,g7421.t2,75.688,1.6,30.0,s3607.t1,25.455,2.6700000000000002e-27,115.0,ref|XP_061508800.1|,33.443,460.9870222280549,604.0,ok,cecidomyiid-like
g2078.t1,0.0,518.0,g13825.t1,73.924,1.6,30.8,s8496.t1,21.978,0.012,38.9,ref|XP_061505624.1|,61.905,460.9870222280549,487.2,ok,cecidomyiid-like
g2178.t1,0.0,913.0,g13923.t2,93.3,1.5,31.6,s16392.t1,28.182,3.28e-56,201.0,ref|XP_557626.4|,47.959,460.9224837069173,881.4,ok,cecidomyiid-like
