gene	sseqid	compartment	qcov	best_pid	best_eval
g13362	Bimp_SUPER_1	core_autosome	0.6976047904191617	46.61	6.550000000000001e-66
g13362	Bimp_SUPER_1	core_autosome	0.8892215568862275	32.776	2.03e-47
g13362	Bimp_SUPER_1	core_autosome	0.8802395209580839	35.811	1.43e-47
g13362	Bimp_SUPER_2	core_autosome	0.6676646706586826	38.938	4.1699999999999996e-46
g13362	Bimp_SUPER_GRC	GRC	0.6676646706586826	38.938	4.1699999999999996e-46
g13362	Bimp_SUPER_GRC	GRC	1.0	60.651	8.97e-131
g13362	Bimp_SUPER_GRC	GRC	0.9401197604790419	33.123	7.25e-46
g13362	Bimp_SUPER_X	X	0.8892215568862275	32.776	3.12e-47
g13362	Bimp_SUPER_X	X	0.2904191616766467	56.41	1.26e-18
g13363	Bimp_SUPER_1	core_autosome	0.906832298136646	50.794	2.55e-49
g13363	Bimp_SUPER_1	core_autosome	0.8530020703933747	44.286	2.92e-50
g13363	Bimp_SUPER_1	core_autosome	0.9648033126293996	45.352	5.46e-102
g13363	Bimp_SUPER_1	core_autosome	0.525879917184265	29.183	3.26e-13
g13363	Bimp_SUPER_1	core_autosome	0.8281573498964804	51.786	9.37e-76
g13363	Bimp_SUPER_1	core_autosome	0.9523809523809523	50.893	1.21e-35
g13363	Bimp_SUPER_1	core_autosome	0.9585921325051759	50.0	2.88e-101
g13363	Bimp_SUPER_1	core_autosome	0.9440993788819876	40.625	1.21e-105
g13363	Bimp_SUPER_1	core_autosome	0.9751552795031055	41.772	6.32e-48
g13363	Bimp_SUPER_1	core_autosome	0.7763975155279503	47.794	6.41e-39
g13363	Bimp_SUPER_1	core_autosome	0.9648033126293996	45.07	1.6e-101
g13363	Bimp_SUPER_1	core_autosome	0.18012422360248448	50.0	5.6e-17
g13363	Bimp_SUPER_1	core_autosome	0.9358178053830227	26.285	1.39e-31
g13363	Bimp_SUPER_2	core_autosome	0.5445134575569358	31.939	2.85e-30
g13363	Bimp_SUPER_2	core_autosome	0.9668737060041408	45.378	2.51e-61
g13363	Bimp_SUPER_2	core_autosome	0.9668737060041408	45.378	2.5699999999999998e-61
g13363	Bimp_SUPER_2	core_autosome	0.94824016563147	44.286	8.34e-59
